[26.04.2017 | 16:06:03] Pos: -1395.0, 1002.2, -0.0 | OldPos: -1346.1, 956.7 | OldOldPos: -1345.9, 956.6 | PlayerLevel: 1 | Name: GoHa_O_ | Ping: 85 | Warnings: 0
[26.04.2017 | 16:07:26] Pos: 1107.8, -1742.2, 13.3 | OldPos: 1065.7, -1774.2 | OldOldPos: 1065.7, -1774.2 | PlayerLevel: 1 | Name: Egor_Medintsev | Ping: 69 | Warnings: 0
[26.04.2017 | 16:07:40] Pos: 2231.1, -2285.3, 11.8 | OldPos: 1813.6, -1879.7 | OldOldPos: 1813.6, -1879.7 | PlayerLevel: 2 | Name: Dima_Guy_Premium | Ping: 64 | Warnings: 0
[26.04.2017 | 16:10:01] Pos: 1310.9, -1804.7, 13.3 | OldPos: 1315.0, -1837.2 | OldOldPos: 1315.0, -1837.2 | PlayerLevel: 2 | Name: LeoneI_Messi | Ping: 92 | Warnings: 0
[26.04.2017 | 16:31:59] Pos: -1858.5, -1625.8, -78.2 | OldPos: 625.9, -1870.3 | OldOldPos: 625.9, -1870.3 | PlayerLevel: 1 | Name: Andre_Daniels | Ping: 74 | Warnings: 0
[26.04.2017 | 16:34:25] Pos: -1007.4, -1268.4, 131.3 | OldPos: -1028.9, -1234.4 | OldOldPos: -1028.9, -1234.4 | PlayerLevel: 1 | Name: Simon_Norris | Ping: 58 | Warnings: 0
[26.04.2017 | 16:36:19] Pos: -1140.6, -1095.4, 129.1 | OldPos: -1107.2, -1073.6 | OldOldPos: -1107.2, -1073.6 | PlayerLevel: 1 | Name: Dmitry_Ell | Ping: 80 | Warnings: 0
[26.04.2017 | 16:39:06] Pos: 1842.5, -1329.5, 13.3 | OldPos: 1868.9, -1362.7 | OldOldPos: 1868.9, -1362.7 | PlayerLevel: 2 | Name: Dima_Guy_Premium | Ping: 63 | Warnings: 0
[26.04.2017 | 16:51:16] Pos: 1734.7, -1610.8, 14.9 | OldPos: 1817.6, -1867.8 | OldOldPos: 1817.6, -1867.8 | PlayerLevel: 2 | Name: Dima_Guy_Premium | Ping: 64 | Warnings: 0
[26.04.2017 | 16:54:52] Pos: 1578.2, -1062.6, 21.9 | OldPos: 1977.6, 217.0 | OldOldPos: 1977.6, 217.0 | PlayerLevel: 2 | Name: Konstantin_Tsarev | Ping: 89 | Warnings: 0
[26.04.2017 | 17:14:09] Pos: 1360.0, -1610.8, 8.6 | OldPos: 1348.2, -1581.9 | OldOldPos: 1341.4, -1564.9 | PlayerLevel: 1 | Name: Samuel_Force | Ping: 64 | Warnings: 0
[26.04.2017 | 17:21:58] Pos: 295.9, 825.9, 16.9 | OldPos: 248.9, 939.7 | OldOldPos: 248.9, 939.8 | PlayerLevel: 6 | Name: Nick_Kot | Ping: 64 | Warnings: 0
[26.04.2017 | 17:27:13] Pos: -1858.5, -1625.8, -78.2 | OldPos: 1105.0, -1716.8 | OldOldPos: 1105.0, -1716.8 | PlayerLevel: 1 | Name: Nikita_Djaraxot | Ping: 85 | Warnings: 0
[26.04.2017 | 17:31:14] Pos: 1077.5, -1749.2, 13.7 | OldPos: 1208.9, -1717.1 | OldOldPos: 1208.9, -1717.1 | PlayerLevel: 1 | Name: Kody_Wickles | Ping: 96 | Warnings: 0
[26.04.2017 | 17:41:39] Pos: 1544.7, -1667.8, 17.1 | OldPos: 1637.8, -1704.2 | OldOldPos: 1637.8, -1704.2 | PlayerLevel: 1 | Name: Nikita_Djaraxot | Ping: 81 | Warnings: 0
[26.04.2017 | 17:49:06] Pos: 1156.6, -1595.8, 50.4 | OldPos: 1154.6, -1635.7 | OldOldPos: 1153.3, -1661.8 | PlayerLevel: 1 | Name: Bog_Kill | Ping: 86 | Warnings: 0
[26.04.2017 | 18:00:44] Pos: 1135.7, -1749.4, 50.5 | OldPos: 1169.9, -1750.6 | OldOldPos: 1184.3, -1751.6 | PlayerLevel: 1 | Name: Bog_Kill | Ping: 69 | Warnings: 0
[26.04.2017 | 18:09:47] Pos: 2230.3, -2285.9, 14.3 | OldPos: 2170.3, -2253.9 | OldOldPos: 2170.3, -2253.9 | PlayerLevel: 1 | Name: Dead_movie | Ping: 85 | Warnings: 0
[26.04.2017 | 18:35:54] Pos: 1792.9, -1819.9, 14.0 | OldPos: 1833.4, -1853.8 | OldOldPos: 1839.6, -1858.8 | PlayerLevel: 1 | Name: Alexander_Monoklev | Ping: 74 | Warnings: 0
[26.04.2017 | 18:48:07] Pos: -577.8, -1894.4, 12.6 | OldPos: -629.4, -1899.5 | OldOldPos: -659.8, -1903.2 | PlayerLevel: 1 | Name: Billy_Nazimov | Ping: 169 | Warnings: 3
[26.04.2017 | 19:03:44] Pos: 1369.9, -959.9, 59.8 | OldPos: 1379.2, -996.5 | OldOldPos: 1379.3, -1013.7 | PlayerLevel: 2 | Name: Kostya_Window | Ping: 70 | Warnings: 0
