[8.05.2017 | 17:44:52] WeaponInfo[playerid][28]: 0 | PlayerLevel: 8 | Name: Timur_Sorokin
[8.05.2017 | 21:21:56] WeaponInfo[playerid][2]: 0 | PlayerLevel: 1 | Name: Serioga_Sla
[8.05.2017 | 22:14:53] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Leone_Hilfiger
[8.05.2017 | 22:48:53] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Otis_Foster
[9.05.2017 | 01:03:10] WeaponInfo[playerid][1]: 0 | PlayerLevel: 1 | Name: Hitman_Glock
[9.05.2017 | 01:07:40] WeaponInfo[playerid][29]: 0 | PlayerLevel: 3 | Name: Lip_Gallagher
[9.05.2017 | 04:51:50] WeaponInfo[playerid][27]: 0 | PlayerLevel: 1 | Name: Viictoor_Nunnes
[9.05.2017 | 10:04:41] WeaponInfo[playerid][29]: 0 | PlayerLevel: 1 | Name: Kevin_Lolka
[9.05.2017 | 13:18:12] WeaponInfo[playerid][5]: 0 | PlayerLevel: 1 | Name: Black_Silver
[9.05.2017 | 13:56:13] WeaponInfo[playerid][31]: 0 | PlayerLevel: 2 | Name: Artem_Kalmykov
[9.05.2017 | 14:01:44] WeaponInfo[playerid][29]: 0 | PlayerLevel: 3 | Name: Sasha_Pusarenko
[9.05.2017 | 14:14:31] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: James_Collrand
[9.05.2017 | 15:20:41] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Tony_Roys
[9.05.2017 | 16:08:34] WeaponInfo[playerid][27]: 0 | PlayerLevel: 1 | Name: Jery_Thompson
[9.05.2017 | 16:21:39] WeaponInfo[playerid][27]: 0 | PlayerLevel: 1 | Name: Alex_MCFarlane
[9.05.2017 | 18:52:47] WeaponInfo[playerid][30]: 0 | PlayerLevel: 5 | Name: Ruslan_Rogozin
[9.05.2017 | 19:42:17] WeaponInfo[playerid][1]: 0 | PlayerLevel: 1 | Name: Danil_Dryshkow
[9.05.2017 | 20:07:31] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Baka_Parlament
[9.05.2017 | 20:18:11] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Benjamin_Simons
[9.05.2017 | 21:06:44] WeaponInfo[playerid][24]: 0 | PlayerLevel: 14 | Name: Tolya_Tempo
