[26.04.2017 | 15:37:14] Pos: 1469.3, -1870.5, 13.3 | OldPos: 1516.2, -1870.0 | OldOldPos: 1524.0, -1869.9 | PlayerLevel: 1 | Name: Dmitriy_Goncharyk | Ping: 85 | Warnings: 0
[26.04.2017 | 15:44:16] Pos: -2086.8, -135.8, 35.0 | OldPos: -2077.0, -199.2 | OldOldPos: -2076.9, -200.2 | PlayerLevel: 1 | Name: Mr_Devpool | Ping: 69 | Warnings: 0
[26.04.2017 | 15:53:49] Pos: 410.5, -1714.7, 8.4 | OldPos: 463.0, -1723.7 | OldOldPos: 463.0, -1723.7 | PlayerLevel: 1 | Name: PLATON_KONOWAL | Ping: 78 | Warnings: 0
[26.04.2017 | 16:19:09] Pos: 1314.0, -1728.8, 12.9 | OldPos: 1301.8, -1667.5 | OldOldPos: 1301.8, -1667.5 | PlayerLevel: 2 | Name: Santygo_Fabiero | Ping: 89 | Warnings: 0
[26.04.2017 | 16:22:10] Pos: 1660.2, -1442.5, 13.1 | OldPos: 1609.1, -1442.8 | OldOldPos: 1588.2, -1442.7 | PlayerLevel: 9 | Name: James_Shadow | Ping: 85 | Warnings: 0
[26.04.2017 | 16:30:23] Pos: -2086.9, -131.8, 35.0 | OldPos: -2076.9, -199.7 | OldOldPos: -2076.9, -199.7 | PlayerLevel: 3 | Name: Vovango_Star | Ping: 94 | Warnings: 0
[26.04.2017 | 16:49:39] Pos: -2086.9, -141.7, 35.0 | OldPos: -2075.6, -198.9 | OldOldPos: -2075.6, -199.7 | PlayerLevel: 1 | Name: PeTrO | Ping: 74 | Warnings: 0
[26.04.2017 | 17:25:46] Pos: 592.5, -1865.1, 4.6 | OldPos: 692.2, -1844.9 | OldOldPos: 692.2, -1844.9 | PlayerLevel: 1 | Name: Fazber_Krab | Ping: 89 | Warnings: 0
[26.04.2017 | 17:45:04] Pos: 1626.3, -1736.0, 12.9 | OldPos: 1309.8, -1727.8 | OldOldPos: 1309.8, -1727.8 | PlayerLevel: 1 | Name: Kostya_Window | Ping: 69 | Warnings: 0
[26.04.2017 | 18:06:06] Pos: 1113.6, -1755.5, 16.5 | OldPos: -1523.7, 701.2 | OldOldPos: -1523.7, 701.2 | PlayerLevel: 1 | Name: Artem_Tereshchenko | Ping: 91 | Warnings: 0
