[21.05.2017 | 02:48:34] Position: 357.928, -1864.878, 6.793 | Velocity: 0.158, 0.035, 0.149 | PlayerLevel: 4 | Name: Vasec_Medvedev
[21.05.2017 | 13:08:59] Position: -1448.555, 531.683, -0.140 | Velocity: -0.136, -0.129, -0.000 | PlayerLevel: 3 | Name: Jezzy_Yeezy
[21.05.2017 | 15:07:06] Position: -1480.643, 488.236, -0.176 | Velocity: 0.182, 0.052, -0.001 | PlayerLevel: 6 | Name: Vlad_Cepeh
[20.07.2017 | 03:21:45] Position: 177.875, -14.867, 2.406 | Velocity: 0.000, 0.228, 0.060 | PlayerLevel: 1 | Name: Shon_Redford
[22.07.2017 | 14:15:44] Position: 1154.363, -1762.658, 15.946 | Velocity: 0.030, 0.209, 0.119 | PlayerLevel: 1 | Name: Aleks_Rodriguez
[22.07.2017 | 18:33:50] Position: 1820.618, -1834.073, 28.845 | Velocity: -0.000, 0.160, 0.125 | PlayerLevel: 1 | Name: Aleks_Rodriguez
[22.07.2017 | 20:20:42] Position: -1682.737, 1091.242, 1524.834 | Velocity: 0.031, -0.174, 0.090 | PlayerLevel: 1 | Name: Aleks_Rodriguez
[22.07.2017 | 23:07:29] Position: 1259.467, 468.509, 47.823 | Velocity: 0.101, -0.178, -0.016 | PlayerLevel: 1 | Name: Aleks_Rodriguez
[24.07.2017 | 23:30:26] Position: 1816.806, -1852.082, 14.156 | Velocity: -0.005, 0.230, -0.023 | PlayerLevel: 1 | Name: Markus_Forentino
[22.08.2017 | 19:23:35] Position: -984.813, 2175.086, 40.056 | Velocity: 0.319, 0.008, 0.005 | PlayerLevel: 228 | Name: William_York
[27.09.2017 | 20:26:49] Position: -2573.469, 589.691, 82.859 | Velocity: -0.001, -0.056, -0.181 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:26:49] Position: -2573.475, 589.516, 82.446 | Velocity: -0.002, -0.083, -0.172 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
